ids,labels,parents
Energy Drink-Functional, Functional,
Whiskey-Spirits, Spirits,
Sparkling-Water, Water,
Mixers-Cocktails, Cocktails,
Enhanced-Water, Water,
Still-Water, Water,
Sweetened-Tea, Tea,
Tequila-Spirits, Spirits,
Cold Brew-Coffee, Coffee,
Vodka-Spirits, Spirits,
Juice Drink-Juice, Juice,
Protein Drinks and Supplements-Functional, Functional,
Unsweetened-Tea, Tea,
Lemonade-Juice, Juice,
CBD-Functional, Functional,
Herbal and Alternative-Tea, Tea,
Other Shots-Functional, Functional,
Fruit Juice-Juice, Juice,
Other Liqueur-Spirits, Spirits,
Gin-Spirits, Spirits,
Coconut Water and Juice-Juice, Juice
